nearest:B 00 00 12.79 +01 07 12.7
nearest:B 00 00 38.69 +14 35 48.2
nearest:B 00 00 44.79 -10 24 20.9
nearest:B 00 00 57.31 -01 06 53.4
nearest:B 00 01 06.37 -10 24 00.9
nearest:B 00 01 18.04 -10 25 34.1
nearest:B 00 01 28.50 -00 13 27.9
nearest:B 00 01 33.96 +15 04 53.7
nearest:B 00 01 55.08 +14 51 08.8
nearest:B 00 02 05.65 -11 12 38.1
nearest:B 00 02 15.93 +14 40 18.5
nearest:B 00 02 39.65 +00 56 33.6
nearest:B 00 02 51.58 +15 39 17.4
nearest:B 00 03 25.64 +14 28 37.7
nearest:B 00 03 46.01 +00 51 17.7
nearest:B 00 03 48.28 -00 45 25.8
nearest:B 00 03 58.80 +13 43 28.6
nearest:B 00 04 00.62 +14 42 13.4
nearest:B 00 04 02.94 +13 45 05.3
nearest:B 00 04 06.01 -00 13 33.4
nearest:B 00 04 10.46 -10 01 18.2
nearest:B 00 04 28.27 +15 58 54.0
nearest:B 00 04 34.27 -09 03 09.3
nearest:B 00 04 45.61 +16 12 19.0
nearest:B 00 04 52.36 +00 21 06.2
nearest:B 00 04 54.03 -08 53 40.7
nearest:B 00 04 58.10 +15 49 59.1
nearest:B 00 05 04.48 -09 04 03.9
nearest:B 00 05 05.45 +00 27 45.6
nearest:B 00 05 19.41 -00 05 24.7
nearest:B 00 05 27.04 +13 48 49.6
nearest:B 00 05 31.73 -09 35 01.3
nearest:B 00 05 35.89 -00 55 20.3
nearest:B 00 05 49.16 -09 32 37.3
nearest:B 00 05 50.86 +15 39 44.1
nearest:B 00 05 57.16 -10 05 58.3
nearest:B 00 06 02.31 +15 59 30.4
nearest:B 00 06 03.91 -00 43 37.1
nearest:B 00 06 08.42 -00 22 19.7
nearest:B 00 06 35.73 -00 34 15.9
nearest:B 00 07 10.75 -00 24 53.1
nearest:B 00 07 11.28 +16 00 33.5
nearest:B 00 07 13.73 +00 16 42.1
nearest:B 00 07 22.15 +15 38 11.5
nearest:B 00 07 25.10 -00 51 46.2
nearest:B 00 07 26.72 -00 42 21.6
nearest:B 00 07 26.88 +15 11 40.6
nearest:B 00 07 38.00 +13 55 46.8
nearest:B 00 07 40.56 +15 51 02.4
nearest:B 00 07 42.66 +15 11 12.8
nearest:B 00 07 46.98 +15 40 52.1
nearest:B 00 07 56.98 -08 45 15.7
nearest:B 00 08 05.63 +14 50 23.3
nearest:B 00 08 34.30 -10 56 57.5
nearest:B 00 08 41.55 +15 10 59.4
nearest:B 00 08 47.86 -00 37 30.4
nearest:B 00 08 51.20 -09 03 54.9
nearest:B 00 09 04.74 -10 19 25.9
nearest:B 00 09 06.50 +00 02 32.7
nearest:B 00 09 08.63 +14 56 59.2
nearest:B 00 09 27.74 +15 16 20.6
nearest:B 00 09 44.98 +15 27 12.4
nearest:B 00 09 52.45 -01 08 59.8
nearest:B 00 09 52.79 -00 26 47.7
nearest:B 00 09 57.79 +15 38 45.0
nearest:B 00 10 12.70 +00 29 38.4
nearest:B 00 10 16.91 +14 23 48.6
nearest:B 00 10 22.17 +14 37 57.5
nearest:B 00 10 25.55 +00 58 19.7
nearest:B 00 10 38.40 -00 54 06.4
nearest:B 00 10 39.34 -00 03 10.4
nearest:B 00 11 00.16 -09 37 28.2
nearest:B 00 11 03.29 -09 39 04.2
nearest:B 00 11 03.62 -10 02 14.6
nearest:B 00 11 04.82 -00 44 46.2
nearest:B 00 11 08.98 +00 34 26.5
nearest:B 00 11 13.14 +14 16 53.8
nearest:B 00 11 14.38 -11 01 59.0
nearest:B 00 11 18.39 -01 14 34.5
nearest:B 00 11 30.93 -00 43 53.7
nearest:B 00 11 43.50 +15 11 48.9
nearest:B 00 11 46.45 -09 59 01.4
nearest:B 00 12 08.63 -00 14 39.9
nearest:B 00 12 35.48 +00 13 54.1
nearest:B 00 12 48.51 +00 45 00.6
nearest:B 00 12 50.34 +00 15 48.3
nearest:B 00 13 01.55 -09 11 50.9
nearest:B 00 13 11.78 +14 53 40.9
nearest:B 00 13 30.49 +00 07 37.3
nearest:B 00 13 35.31 -10 11 54.1
nearest:B 00 13 45.19 -10 56 11.6
nearest:B 00 13 47.14 +14 46 26.1
nearest:B 00 14 01.49 -10 35 58.4
nearest:B 00 14 12.63 +01 10 10.2
nearest:B 00 14 22.88 -00 10 34.8
nearest:B 00 14 26.49 -00 25 58.1
nearest:B 00 14 31.86 -00 44 15.2
nearest:B 00 14 36.39 -10 30 29.9
nearest:B 00 14 43.64 +00 26 38.7
nearest:B 00 14 52.45 +00 38 03.3
nearest:B 00 14 55.08 +00 15 08.2
nearest:B 00 14 56.53 +01 08 23.6
nearest:B 00 14 57.60 +00 39 07.0
nearest:B 00 15 05.15 +00 38 34.6
nearest:B 00 15 09.48 -00 21 59.5
nearest:B 00 15 16.43 -09 35 56.9
nearest:B 00 15 45.91 -09 51 46.2
nearest:B 00 16 10.24 -00 04 05.6
nearest:B 00 16 14.64 -00 26 06.9
nearest:B 00 16 17.85 -09 08 02.9
